"neq"	"04724"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Mixistlán"
"neq"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe a la norte del Distrito Mixe (Atitlán)"
"pxm"	"00000"	"mixe"	"Mixe"	"[variant language]"	"Mixe de Quetzaltepec"
"mfs"	"00000"	"sign language"	"Lengua de Señas"	"[variant language]"	"Lengua de Señas Mexicana"
"mfy"	"00000"	"taracahita"	"Mayo"	"[variant language]"	"Mayo"
"mhc"	"00000"	"maya"	"Motozintleco"	"[variant language]"	"Mocho"
"ntp"	"00000"	"pimana"	"Tepehuán"	"[variant language]"	"Tepehuán del Norte"
"stp"	"00000"	"pimana"	"Tepehuán"	"[variant language]"	"Tepehuán del Sureste"
"tla"	"00000"	"pimana"	"Tepehuán"	"[variant language]"	"Tepehuán del Suroeste"
"ood"	"00000"	"pimana"	"Tohono O’odham"	"[variant language]"	"Tohono Oꞌodham"
"ote"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí del Valle del  Mezquital"
"otl"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí de Tilapa"
"otm"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí sierra oriente"
"otn"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí de Tenango"
"otq"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí del Poniente"
"ots"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí del estado de Mexico"
"ott"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí de Temoaya"
"otx"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí de Texcatepec"
"otz"	"00000"	"otopame"	"Otomí"	"[variant language]"	"Otomí del Sureste"
"pbe"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de Los Reyes Mezontla"
"pbf"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de Coyotepec"
"pca"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de Sta. Inés Ahuatempan"
"pls"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de San Marcos Tlacoyalco"
"poe"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de San Juan Atzingo"
"pow"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de San Felipe Otlaltepec"
"pps"	"00000"	"popoloca"	"Popoloca"	"[variant language]"	"Popoloca de San Luis Temalacayuca"
"pbs"	"00000"	"otopame"	"Pame"	"[variant language]"	"Pame del Centro"
"pmq"	"00000"	"otopame"	"Pame"	"[variant language]"	"Chichimeca Pame del Norte"
"pei"	"00000"	"otopame"	"Chichimeca-Jonaz"	"[variant language]"	"Chichimeca-Jonaz"
"pia"	"00000"	"pimana"	"Pima Bajo"	"[variant language]"	"Pima Bajo de Sonora"
"plo"	"00000"	"mixe"	"Popoluca"	"[variant language]"	"Popoluca de Oluta"
"poi"	"00000"	"mixe"	"Popoluca"	"[variant language]"	"Popoluca de la Sierra"
"poq"	"00000"	"mixe"	"Popoluca"	"[variant language]"	"Popoluca de Texistepec"
"pos"	"00000"	"mixe"	"Popoluca"	"[variant language]"	"Popoluca de Sayula"
"ppi"	"00000"	"yumana"	"Paipai"	"[variant language]"	"Paipai"
"pua"	"00000"	"tarasca"	"Purépecha"	"[variant language]"	"Purépecha"
"tsz"	"00054"	"tarasca"	"Purépecha"	"[variant language]"	"Purépecha (Tarasco) de Central"
"sei"	"00000"	"seri"	"Seri"	"[variant language]"	"Seri"
"tac"	"00000"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara baja"
"tar"	"00000"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara Alta"
"tcu"	"17211"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara del Sureste"
"tcu"	"17210"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara del Sureste"
"thh"	"00000"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara del Norte"
"twr"	"00000"	"taracahita"	"Tarahumara"	"[variant language]"	"Tarahumara del Suroeste"
"tee"	"00000"	"totonaca"	"Tepehua"	"[variant language]"	"Tepehua de Huehuetla"
"tpp"	"00000"	"totonaca"	"Tepehua"	"[variant language]"	"Tepehua de Pisaflores"
"tpt"	"00000"	"totonaca"	"Tepehua"	"[variant language]"	"Tepehua de Tlachichilco"
"tku"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Patla y Chicontla"
"tlc"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Yecuatla"
"tlp"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Filomeno Mata-Coahuitlán"
"toc"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Coyutla"
"too"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Xicotepec de  Juárez"
"top"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Papantla"
"tos"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de la Sierra"
"tqt"	"00000"	"totonaca"	"Totonaco"	"[variant language]"	"Totonaco de Ozumatlán"
"toj"	"00000"	"maya"	"Tojolabal"	"[variant language]"	"Tojolabal"
"tcf"	"03352"	"tlapaneca"	"Me’phaa"	"[variant language]"	"Me’phaa de Malinaltepec"
"tcf"	"00000"	"tlapaneca"	"Me’phaa"	"[variant language]"	"Me'phaa de Malinaltepec"
"tpc"	"00000"	"tlapaneca"	"Me’phaa"	"[variant language]"	"Tlapaneco de Azoyu"
